unix,date,symbol,open,high,low,close,VolumeBTC,VolumeUSDT,tradecount,EMA,SMA,RSI
1649808000000,4/13/2022 00:00,BTC/USDT,40074.95,41561.31,39588.54,41147.79,41342.27254,1677171454,948061,43376.31698,44038.79357,42.8741748
1649894400000,4/14/2022 00:00,BTC/USDT,41147.78,41500,39551.94,39942.38,36807.01401,1494726286,803756,42936.13338,43615.92214,39.13808392
1649980800000,4/15/2022 00:00,BTC/USDT,39942.37,40870.36,39766.4,40551.9,24026.35739,966888436.8,616536,42697.6876,43218.21071,41.89529983
1650067200000,4/16/2022 00:00,BTC/USDT,40551.9,40709.35,39991.55,40378.71,15805.44718,638275503.9,423446,42330.31325,42808.81143,41.32246306
1650153600000,4/17/2022 00:00,BTC/USDT,40378.7,40595.67,39546.17,39678.12,19988.49259,803414249,590241,42093.19149,42420.79071,38.99945897
1650240000000,4/18/2022 00:00,BTC/USDT,39678.11,41116.73,38536.51,40801.13,54243.49575,2153574976,1157741,41864.59395,41940.13143,44.3955322
1650326400000,4/19/2022 00:00,BTC/USDT,40801.13,41760,40571,41493.18,35788.85843,1472363265,934526,41573.06409,41527.31857,47.47884073
1650412800000,4/20/2022 00:00,BTC/USDT,41493.19,42199,40820,41358.19,40877.35041,1697039284,1063843,41470.13955,41241.29214,46.93216886
1650499200000,4/21/2022 00:00,BTC/USDT,41358.19,42976,39751,40480.01,59316.27657,2476061418,1515456,41473.21161,41111.84357,43.42891037
1650585600000,4/22/2022 00:00,BTC/USDT,40480.01,40795.06,39177,39709.18,46664.0196,1870172362,1043471,41457.87539,40900.11643,40.56651877
1650672000000,4/23/2022 00:00,BTC/USDT,39709.19,39980,39285,39441.6,20291.42375,804677022.9,724132,41327.49334,40718.48571,39.59102043
1650758400000,4/24/2022 00:00,BTC/USDT,39441.61,39940,38929.62,39450.13,26703.61186,1056336243,868183,41111.71823,40481.88786,39.64084941
1650844800000,4/25/2022 00:00,BTC/USDT,39450.12,40616,38200,40426.08,63037.12784,2470071005,1280351,40889.0358,40288.40786,45.20948831
1650931200000,4/26/2022 00:00,BTC/USDT,40426.08,40797.31,37702.26,38112.65,66650.258,2615206862,1381618,40697.18169,40352.38143,36.59160074
1651017600000,4/27/2022 00:00,BTC/USDT,38112.64,39474.72,37881.31,39235.72,57083.12272,2218523642,1232083,40661.0348,40212.21786,42.33800341
1651104000000,4/28/2022 00:00,BTC/USDT,39235.72,40372.63,38881.43,39742.07,56086.6715,2223808386,1135242,40321.25016,40075.64143,44.76833789
1651190400000,4/29/2022 00:00,BTC/USDT,39742.06,39925.25,38175,38596.11,51453.65715,2006135663,1101140,40176.51281,40061.33357,40.59788595
1651276800000,4/30/2022 00:00,BTC/USDT,38596.11,38795.38,37578.2,37630.8,35321.18989,1354900532,1017369,40118.5871,39921.63429,37.43440574
